,content,like,link,title
49,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0C6DSLCf9Xw_ULIlblAOAc89frU1eCeHLm6gXbBBQJJUX6I5BRQURqKa2ysYQPwUVY4F9XnjKKnMVCHVDhq2oXFy9YfkXZLBx5nqlpE31B6eMmJNtK1Z3tVEpxPKlllRDJYxh8WmeYjy7ItcLJ_nhZJbhQtxzZDCw97j75Ev6Y36-pGnQkGIPiQsDE1hXSrnq2GJo_k0ieziLxqIptA3rPhXHPjbmzmiM7VZrHZl49zCjhMt_18uXAYM0F8m2rL2C_f-yfLXQn8eTwzR4fSQy_2Kd8oZqenkhbMFAZajEdtx_Nw1NCjwjiCASfEPqsI8Ixrewd2wkYVvRavpwf_pu16qJqZA2Wu918WH42GfbCcBfYFsuYLsCqRPfhj7h39qdFI03Npg3NOCWH4JBy6KNUgcAg38BVCVhwNODoSqHPFZJkL9OJxVSZjzBadBOrOly0=&p=23&fvj=1&vjs=3,Data Scientist
50,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEUh0ZmBK-ufXUgDzbSV87rC45NkPEzWsnHQbVca4MikM_MtxPhDQxCm8aWfOOz5R-K1nCnjcBgIHmKs1jmFsOt5tL6bL-jJv_ktG2E0yV4Y_sEKsh-xPinRVGpQMiqSqsWcfdhxtQdPrjyyURdt2dmARcum5vNaI0lI_6ciwK2ziI6sCJh9ofgWprVWq1UZau2c99vq0dk9tAGpCj1Y3lpBk0A8VH3IZvbtxnFcqlUYMN3qEDA1DcHTIWs8tzta_lhfdY6PodzjX5twZJ1IiLsiu9T6M00kGKBKkFW_vc-NvQgWCDVsX7lnCnvTZSTM4uUzTfy6ZcXzVpGz2nRTsbf0NWwyH9NqXhI1xkFNzZmwkgPoDROoeGL_9El3DiLEAu25YI0nD1i5mQ69YbSSX_qSo6OvK7h-kRw==&p=24&fvj=0&vjs=3,Data Scientist - Price Point – Start-up company
51,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AzSn2Srz3juBjm3uZH_ze3C3LrHWmDf4-FYXsVxBdLrIGMqZdXpvXiEEHAuBmtaoUDc2D0VTLNvol1O2DSz8fpc9Ydop8cViyMdQl4HO6UDssFoHKWzG5ePvmwLGTj3Y5RcILdAQKb7bDK5fzOTGPF4cYPZr_vGHXCjekIcUFJCXeV7SyGHPIj_KYiGAoB9t5d783vATZRo4KLpqdW9efVHLIGU1Kh5OcIFvF7mk3Tv80vglqoFMq2ZCWmeoSk9rGlYTLU4Z0hNs7cRx9I3Hwe7sKSg3vTLIMq1k08dsWH3VmMLcqvprNPpjMzLByuPshy16cEcLV6saE9MeZK0ZG6nxEzwu0oesSqo0K4fd1G-eHNyKND1wEh0BCpnWQxCHroQlkMurGCj59f3-084fvpDoCyGE0R_CqHKbxoZJS-vfiMnHQwL-geCniMpWDDJIBSiPnMJEDacqQ42CFLi7QjoiZos59sJMUsgDj3wxRqIapgNS5U6R1t8YTvi93vj3jDPCyA521v6tgBmQxIZuubV67Vt-TvgRPAY6ONMbiVbGLt75Ef08ApFSTlPYkWJxpHOze6158N2A==&p=25&fvj=0&vjs=3,Cloud Data Engineer
52,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0C6DSLCf9Xw_ULIlblAOAc89frU1eCeHLm6gXbBBQJJUX6I5BRQURqKa2ysYQPwUVY4F9XnjKKnMVCHVDhq2oXFy9YfkXZLBx5nqlpE31B6eMmJNtK1Z3tVEpxPKlllRDJYxh8WmeYjy7ItcLJ_nhZJbhQtxzZDCw97j75Ev6Y36-pGnQkGIPiQf5OYcwsiEZVViFVuIPbPom0_PPi_w0QF_FRz7KKudrIcEeQDNLURHv_uPwUz50l9wDuYmlcrmIdo2gsVCgcYgS8bmyUR9bgxs8FltKlWFe1cX09bOkJebs3vqz1RmDdB8MNk_s2uO_MKQHsrnOLycFfb4tcjSaiAOuYdvAc_xsAS3NqQq9m9RlsngFFL6PBOF6YrDDs7UNzr0hwgVEzdnADp3RjTDN7_EeEQbKBEJ8pV-YiYNuzl1mfa_CFeaEwbImKBy_iiNYs=&p=0&fvj=1&vjs=3,Data Scientist
53,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DwJAmpBVU0HWH4Z_N_8RfDOeMhFKYJiPRpnyg6LLHuPLkNgOo11i9V-bLs0ftKCWa4TLeb9bLmsFo2JjkdouuC257hV7LYNSwbGwfQFn2O2tF1k9H0i5RDHKRhto739PW9iZm9R4Iw9sPE6oygewO2FHMMJ4sG1wuGX2KChGefCJuWX0fD9hijaNyv0o0FO6O0Eg4xY_CguqOumpB5JtUtIymvBR7r1Yr37R9q6Dxhu9Sff-9X2CePdFNkPL2HFjqRn2GgcFtvF1QmxNfgs-hRbg1-wGPpSR1MAlfBdokaLb5CVwII6lEgNrU-Abn97kotUpgqATKui8uUl8d_7E9H8_NW1Vo6e8KTJJhYiwcYidCTU0MuHQNdjlVI5XzXTF5VUYuasEQsojkZF5aVOTghIZG-iCswBgFK9Tz4DsNVziNEtyc-ABZHtbkNU61nPnF3dMjPkHZBwulKYaI-_weFz59NbNLmhnl1bD0_ZUhZKwg-wZvDLoAo&p=1&fvj=0&vjs=3,Manager - Data and Analytics
54,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CNcpJbx75BWsvBL9R7x7Y_VD3CTIput4kyPakBFyE1nhmQ6JjQgOug7hhy2hUH7d0gUlN6QiruGrIcw_U3avwJM9xJNc7NjhAKJ1qU1ejH_kV_MsSx4sXCtcWEALDEQALVBVDl0j5BELtDT9C14VHdJZy3LjT_ZxQFA6Lo413xxxwZ0Nww1VzmH6rb5ZQWbDRiDxxyLFlKzq45jLjkEtpl33nquUVf_yy-GU2tppI-YWSGcOveJ1vrpfTJwcMEHLjTYnmuKdjXMcBeHKjjZFUO_u4AD6UKaNCzGxfgBMKgl74K-0By67T7jWYXYDs5cDbT9wJuk6H7YyrMaarvApuJyGrb6G2vyTRbtwEkC_scGHwIZ7BlLoFBRtAyh31q8aORvr2GMQuruuEmOsUPueVdBFPBnQ3Rcl3lkWLmXR_MezqSskJt7BLibeFUc_FSoMn5tzTWUDYotXB6_0KjkiXipR8HcR7XUhGYspGA1dIPRkkIVrtnJjHNeMhjN8P6_4g=&p=2&fvj=1&vjs=3,"Summer Camp Instructors - Ableton, Java, AI & Data Science,..."
55,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwET8iIUKi5R7UlnAJnInH0lhPdxoVRRO6mPO7QNXSXmQ8TnBQyMkgzUu8Z0JfMAlajwkK37NGnoml-8waEM8eTERCRtJh3iJUs1k9W7hvokx5alr3r-6EOapa01Pnr5KjcoL0lO2oxBYNctsp-4H-ZirP1Z8jyS4ivt6NL_5ZdIm-atrdz6MLlR2HMAFLnVbC80Kik5ghm_Fms46__o6D3doEKP_qDgEYQ2hPxKUgRO7Kt2gOmDvOJtcBDSM6Dwcid50vc2UaX_UMI8NaVlzH6dx64a8p2UIhAHeI2cBX_BDJtAtPbzPFfcBk7nKyQpWfktYUsn_U5cdQDsw47YN-BKJnPf_D616aJj_csPI21HIJNCYtR3h20oTen66l0HrYKWgz5MjY0WuaLjEHfBMXCp3BlC0PC8q38g==&p=3&fvj=0&vjs=3,Data Scientist - Price Point – Start-up company
56,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AzSn2Srz3juBjm3uZH_ze3C3LrHWmDf4-FYXsVxBdLrIGMqZdXpvXiZCNVdNUaXRETvfj30DSHqvNbf5vk6yM-NAh7Lqh5NIUmderZsn-sZErzEvR6PuMklsOGBZnkKgwdImVujWTLQOZap_az_ZP9Tiag3uuH7EjoT7TFtjxEEQNu4rqA4IdUha7-wUh80NNyETVBFqbxmXKzbs5nl1Cmk3fozC8CPB0k6qgV35O42KC2ThWUb-xAfzdQdWu43pFxb9ukFVnzUJ2-tRrt98t5wNMyHyNr69YdBbmEtYX23lAOg1KtN4bolRQb_ztYyRQfzCPeaVRKgmNvRt0mliMhTWz3rF5VjFvDrxUuv3cMZUOb-0gAsw9BiP6ZQcaXJKSiWXPlhzwBou3Q5i74cuNuCxuFPrfhkkFk509YuGgvsxyGFup36Sm0BHWtsSkJEWjeAQaFh4prflTWhiwVM6omrKbI8ncPIw9_tniVr4acZ7unzcxEHOhZU2MVXEjBp7kmBNiUDy0YTQvFIrxGKEIlCndwz3DTkFEhB9Ct9ptB0HqqzY0fIhaN6Wt4yPK6Id09L_diz9kwxg==&p=4&fvj=0&vjs=3,Data Engineer
57,,0.0,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0AzSn2Srz3juBjm3uZH_ze3C3LrHWmDf4-FYXsVxBdLrIGMqZdXpvXiEEHAuBmtaoUDc2D0VTLNvol1O2DSz8fpc9Ydop8cViyMdQl4HO6UDssFoHKWzG5ePvmwLGTj3Y5RcILdAQKb7bDK5fzOTGPF4cYPZr_vGHXCjekIcUFJCQ5hKzVrslmsOxOc3H0h0dOJwXVpplZkbsFKexZ9NNKkQRLDsCq9GUgYaTczWMxt-vAfW8uNyn_oBUnUdTIMGWlRMnaAUi9ArhvXHtq8GzwioeK_-uaI6fdjq8BovdHK0oykuPb5BzEOorgOObMCEWddFAo7yn99B2F6sofHtUGTfOJfn_i2GdHUktKFXBNruQPsbZb08CTqgZsQc9x-sFsO_q8fbA0GLcXk9sFSwJLn3zOg5oc4KCsi5YRo__2-iw0jErPPPbrMWPwx4BaNHN7ZHMm4eWwcPnp06msduvB9TLy2jGxb8rq6r_09p_rjaMIyLuKtDenoqonDucByRXXJbuPUazlXx9OPalx1F6gboQ_3_4DeGRLffpc4wXJis32xpsLwdfihkp788L8aW5gmJKZsHWjkMQ==&p=5&fvj=0&vjs=3,Cloud Data Engineer
58,,0.0,https://www.indeed.ca/rc/clk?jk=28d3fdc2b2e22117&fccid=a26f2277c5698ad3&vjs=3,Senior Systems Administrator
59,,0.0,https://www.indeed.ca/company/Toronto-Artscape-Inc./jobs/Salesforce-Developer-5a853ace2b318fb4?fccid=cc88f355bf2890ee&vjs=3,Salesforce Developer
60,,0.0,https://www.indeed.ca/rc/clk?jk=609d79ac013c1c3a&fccid=f801906c47108fe8&vjs=3,UX or Interaction Designer
